,Time,GPUs
0,1652434464.406314,56
1,1652434527.406314,56
2,1652434590.406314,56
3,1652434653.406314,56
4,1652434716.406314,56
5,1652434779.406314,56
6,1652434842.406314,56
7,1652434905.406314,56
8,1652434968.406314,56
9,1652435031.406314,56
10,1652435094.406314,36
11,1652435157.406314,31
12,1652435220.406314,31
13,1652435283.406314,31
14,1652435346.406314,29
15,1652435409.406314,29
16,1652435472.406314,29
17,1652435535.406314,29
18,1652435598.406314,31
19,1652435661.406314,33
20,1652435724.406314,33
21,1652435787.406314,33
22,1652435850.406314,33
23,1652435913.406314,33
24,1652435976.406314,33
25,1652436039.406314,33
26,1652436102.406314,33
27,1652436165.406314,41
28,1652436228.406314,52
29,1652436291.406314,52
30,1652436354.406314,52
31,1652436417.406314,52
32,1652436480.406314,52
33,1652436543.406314,51
34,1652436606.406314,51
35,1652436669.406314,51
36,1652436732.406314,51
37,1652436795.406314,51
38,1652436858.406314,56
39,1652436921.406314,56
40,1652436984.406314,55
41,1652437047.406314,55
42,1652437110.406314,55
43,1652437173.406314,55
44,1652437236.406314,55
45,1652437299.406314,54
46,1652437362.406314,53
47,1652437425.406314,53
48,1652437488.406314,53
49,1652437551.406314,53
50,1652437614.406314,53
51,1652437677.406314,53
52,1652437740.406314,51
53,1652437803.406314,51
54,1652437866.406314,53
55,1652437929.406314,54
56,1652437992.406314,55
57,1652438055.406314,55
58,1652438118.406314,55
59,1652438181.406314,55
60,1652438244.406314,55
61,1652438307.406314,55
62,1652438370.406314,55
63,1652438433.406314,55
64,1652438496.406314,52
65,1652438559.406314,52
66,1652438622.406314,52
67,1652438685.406314,52
68,1652438748.406314,52
69,1652438811.406314,52
70,1652438874.406314,52
71,1652438937.406314,51
72,1652439000.406314,51
73,1652439063.406314,51
74,1652439126.406314,53
75,1652439189.406314,53
76,1652439252.406314,53
77,1652439315.406314,53
78,1652439378.406314,53
79,1652439441.406314,53
80,1652439504.406314,53
81,1652439567.406314,53
82,1652439630.406314,53
83,1652439693.406314,55
84,1652439756.406314,55
85,1652439819.406314,55
86,1652439882.406314,55
87,1652439945.406314,55
88,1652440008.406314,54
89,1652440071.406314,53
90,1652440134.406314,53
91,1652440197.406314,53
92,1652440260.406314,54
93,1652440323.406314,54
94,1652440386.406314,54
95,1652440449.406314,54
96,1652440512.406314,54
97,1652440575.406314,54
98,1652440638.406314,54
99,1652440701.406314,54
100,1652440764.406314,52
101,1652440827.406314,52
102,1652440890.406314,53
103,1652440953.406314,49
104,1652441016.406314,49
105,1652441079.406314,48
106,1652441142.406314,47
107,1652441205.406314,47
108,1652441268.406314,47
109,1652441331.406314,47
110,1652441394.406314,47
111,1652441457.406314,47
112,1652441520.406314,51
113,1652441583.406314,47
114,1652441646.406314,47
115,1652441709.406314,47
116,1652441772.406314,47
117,1652441835.406314,47
118,1652441898.406314,47
119,1652441961.406314,47
120,1652442024.406314,39
121,1652442087.406314,39
122,1652442150.406314,39
123,1652442213.406314,47
124,1652442276.406314,47
125,1652442339.406314,47
126,1652442402.406314,47
127,1652442465.406314,39
128,1652442528.406314,39
129,1652442591.406314,39
130,1652442654.406314,45
131,1652442717.406314,46
132,1652442780.406314,46
133,1652442843.406314,46
134,1652442906.406314,46
135,1652442969.406314,46
136,1652443032.406314,46
137,1652443095.406314,46
138,1652443158.406314,46
139,1652443221.406314,46
140,1652443284.406314,44
141,1652443347.406314,44
142,1652443410.406314,44
143,1652443473.406314,44
144,1652443536.406314,41
145,1652443599.406314,41
146,1652443662.406314,42
147,1652443725.406314,42
148,1652443788.406314,42
149,1652443851.406314,46
150,1652443914.406314,46
151,1652443977.406314,46
152,1652444040.406314,42
153,1652444103.406314,40
154,1652444166.406314,42
155,1652444229.406314,42
156,1652444292.406314,42
157,1652444355.406314,42
158,1652444418.406314,42
159,1652444481.406314,46
160,1652444544.406314,46
161,1652444607.406314,46
162,1652444670.406314,46
163,1652444733.406314,46
164,1652444796.406314,46
165,1652444859.406314,42
166,1652444922.406314,46
167,1652444985.406314,46
168,1652445048.406314,48
169,1652445111.406314,48
170,1652445174.406314,48
171,1652445237.406314,48
172,1652445300.406314,48
173,1652445363.406314,48
174,1652445426.406314,48
175,1652445489.406314,48
176,1652445552.406314,48
177,1652445615.406314,48
178,1652445678.406314,48
179,1652445741.406314,48
180,1652445804.406314,48
181,1652445867.406314,48
182,1652445930.406314,48
183,1652445993.406314,48
184,1652446056.406314,48
185,1652446119.406314,48
186,1652446182.406314,48
187,1652446245.406314,48
188,1652446308.406314,48
189,1652446371.406314,48
190,1652446434.406314,48
191,1652446497.406314,48
192,1652446560.406314,48
193,1652446623.406314,48
194,1652446686.406314,48
195,1652446749.406314,48
196,1652446812.406314,48
197,1652446875.406314,48
198,1652446938.406314,48
199,1652447001.406314,48
200,1652447064.406314,48
201,1652447127.406314,48
202,1652447190.406314,48
203,1652447253.406314,48
204,1652447316.406314,48
205,1652447379.406314,48
206,1652447442.406314,48
207,1652447505.406314,48
208,1652447568.406314,15
209,1652447631.406314,0
210,1652447694.406314,0
211,1652447757.406314,0
212,1652447820.406314,0
213,1652447883.406314,0
214,1652447946.406314,0
